user_id,timestamp,group,experiment_day,revenue,pre_exp_revenue,purchased,hour_of_day,day_of_week,week_of_exp
100084,2024-01-12 15:46:47,control,12,931.4,86.21,1,15,4,2
100085,2024-01-09 19:36:02,control,9,1683.45,107.68,1,19,1,2
100086,2024-01-10 19:17:20,control,10,594.6,88.59,1,19,2,2
100087,2024-01-01 15:53:31,control,1,0.0,0.0,0,15,0,1
100088,2024-01-05 08:57:18,control,5,400.04,89.84,1,8,4,1
100089,2024-01-11 17:59:43,control,11,799.67,56.59,1,17,3,2
100090,2024-01-12 15:38:21,control,12,395.05,47.34,1,15,4,2
100091,2024-01-13 16:39:23,control,13,613.54,59.81,1,16,5,2
100092,2024-01-12 06:24:02,control,12,0.0,0.0,0,6,4,2
100093,2024-01-12 18:48:30,control,12,1258.96,85.93,1,18,4,2
100094,2024-01-06 10:11:33,control,6,600.88,45.36,1,10,5,1
100095,2024-01-13 13:45:26,control,13,917.39,99.22,1,13,5,2
100096,2024-01-02 11:53:48,control,2,360.06,60.51,1,11,1,1
100097,2024-01-04 08:29:29,control,4,810.36,87.38,1,8,3,1
100098,2024-01-10 13:19:06,control,10,434.27,43.74,1,13,2,2
100099,2024-01-01 16:56:58,control,1,624.57,72.08,1,16,0,1
100100,2024-01-10 11:53:31,control,10,0.0,0.0,0,11,2,2
100101,2024-01-12 15:47:58,control,12,0.0,0.0,0,15,4,2
100102,2024-01-03 19:10:08,control,3,0.0,0.0,0,19,2,1
100103,2024-01-05 12:15:35,control,5,3398.76,282.82,1,12,4,1
100104,2024-01-07 12:42:00,control,7,0.0,0.0,0,12,6,1
100105,2024-01-06 12:54:59,control,6,0.0,0.0,0,12,5,1
100106,2024-01-05 11:49:13,control,5,0.0,0.0,0,11,4,1
100107,2024-01-07 20:34:01,control,7,679.94,82.65,1,20,6,1
100108,2024-01-10 07:23:23,control,10,405.88,71.54,1,7,2,2
100109,2024-01-07 14:26:47,control,7,859.42,76.77,1,14,6,1
100110,2024-01-10 20:56:08,control,10,0.0,0.0,0,20,2,2
100111,2024-01-04 21:06:46,control,4,659.98,92.39,1,21,3,1
100112,2024-01-11 22:19:29,control,11,1269.56,133.98,1,22,3,2
100113,2024-01-08 18:41:50,control,8,584.61,52.11,1,18,0,2
100114,2024-01-07 10:11:44,control,7,887.83,80.05,1,10,6,1
100115,2024-01-04 19:01:33,control,4,1118.26,76.63,1,19,3,1
100116,2024-01-04 16:04:48,control,4,0.0,0.0,0,16,3,1
100117,2024-01-01 12:31:12,control,1,0.0,0.0,0,12,0,1
100118,2024-01-04 14:41:10,control,4,0.0,0.0,0,14,3,1
100119,2024-01-02 12:54:51,control,2,1023.04,96.85,1,12,1,1
100120,2024-01-02 14:28:55,control,2,1480.72,110.73,1,14,1,1
100121,2024-01-08 20:29:24,control,8,688.91,72.78,1,20,0,2
100122,2024-01-10 08:35:00,control,10,657.27,68.42,1,8,2,2
100123,2024-01-08 18:58:32,control,8,506.82,47.46,1,18,0,2
100124,2024-01-07 14:17:17,control,7,889.13,100.19,1,14,6,1
100125,2024-01-01 18:31:11,control,1,663.24,46.61,1,18,0,1
100126,2024-01-07 15:42:20,control,7,670.44,69.68,1,15,6,1
100127,2024-01-11 11:16:28,control,11,729.33,32.55,1,11,3,2
100128,2024-01-11 17:02:22,control,11,986.18,62.34,1,17,3,2
100129,2024-01-01 17:23:02,control,1,585.54,81.47,1,17,0,1
100130,2024-01-09 21:15:55,control,9,531.18,54.66,1,21,1,2
100131,2024-01-08 21:57:55,control,8,932.43,94.75,1,21,0,2
100132,2024-01-08 18:00:09,control,8,0.0,0.0,0,18,0,2
100133,2024-01-05 15:52:31,control,5,574.7,44.75,1,15,4,1
100134,2024-01-08 19:53:36,control,8,444.92,30.95,1,19,0,2
100135,2024-01-14 13:58:30,control,14,1337.29,73.85,1,13,6,2
100136,2024-01-06 14:09:03,control,6,620.13,65.34,1,14,5,1
100137,2024-01-09 10:33:13,control,9,0.0,0.0,0,10,1,2
100138,2024-01-01 10:21:17,control,1,744.92,63.82,1,10,0,1
100139,2024-01-05 20:45:35,control,5,0.0,0.0,0,20,4,1
100140,2024-01-01 11:34:44,control,1,631.32,123.14,1,11,0,1
100141,2024-01-14 18:12:00,control,14,797.43,150.27,1,18,6,2
100142,2024-01-08 19:43:00,control,8,625.63,89.34,1,19,0,2
100143,2024-01-04 20:55:12,control,4,0.0,0.0,0,20,3,1
100144,2024-01-06 17:15:56,control,6,475.26,41.18,1,17,5,1
100145,2024-01-06 12:38:57,control,6,444.41,55.21,1,12,5,1
100146,2024-01-12 22:44:36,control,12,783.95,64.85,1,22,4,2
100147,2024-01-01 11:39:24,control,1,879.46,67.96,1,11,0,1
100148,2024-01-03 19:07:52,control,3,390.92,43.22,1,19,2,1
100149,2024-01-12 12:04:57,control,12,1087.02,94.95,1,12,4,2
100150,2024-01-01 19:35:22,control,1,1089.11,85.65,1,19,0,1
100151,2024-01-02 20:43:49,control,2,0.0,0.0,0,20,1,1
100152,2024-01-04 22:32:41,control,4,0.0,0.0,0,22,3,1
100153,2024-01-13 20:19:52,control,13,1026.36,89.04,1,20,5,2
100154,2024-01-13 11:27:35,control,13,2115.97,75.77,1,11,5,2
100155,2024-01-07 01:55:49,control,7,661.88,56.22,1,1,6,1
100156,2024-01-12 17:14:09,control,12,0.0,0.0,0,17,4,2
100157,2024-01-02 18:25:49,control,2,372.04,59.4,1,18,1,1
100158,2024-01-08 19:09:46,control,8,0.0,0.0,0,19,0,2
100159,2024-01-10 11:40:02,control,10,0.0,0.0,0,11,2,2
100160,2024-01-01 19:18:39,control,1,0.0,0.0,0,19,0,1
100161,2024-01-14 22:41:30,control,14,542.43,72.54,1,22,6,2
100162,2024-01-10 07:12:33,control,10,0.0,0.0,0,7,2,2
100163,2024-01-06 17:29:11,control,6,1350.48,68.32,1,17,5,1
100164,2024-01-06 16:32:45,control,6,417.52,55.14,1,16,5,1
100165,2024-01-06 20:26:02,control,6,303.94,41.68,1,20,5,1
100166,2024-01-12 09:30:39,control,12,2098.73,92.34,1,9,4,2
100167,2024-01-05 11:55:42,control,5,0.0,0.0,0,11,4,1
100168,2024-01-03 08:06:10,control,3,0.0,0.0,0,8,2,1
100169,2024-01-05 16:19:18,control,5,692.39,73.13,1,16,4,1
100170,2024-01-01 07:37:52,control,1,0.0,0.0,0,7,0,1
100171,2024-01-02 11:39:50,control,2,375.51,55.17,1,11,1,1
100172,2024-01-13 16:04:18,control,13,514.38,56.77,1,16,5,2
100173,2024-01-11 19:14:29,control,11,800.44,141.65,1,19,3,2
100174,2024-01-07 11:12:54,control,7,0.0,0.0,0,11,6,1
100175,2024-01-10 18:06:53,control,10,661.57,55.04,1,18,2,2
100176,2024-01-07 11:11:26,control,7,642.78,72.18,1,11,6,1
100177,2024-01-11 00:55:53,control,11,661.52,79.92,1,0,3,2
100178,2024-01-07 18:43:25,control,7,0.0,0.0,0,18,6,1
100179,2024-01-13 14:36:31,control,13,0.0,0.0,0,14,5,2
100180,2024-01-13 18:39:16,control,13,0.0,0.0,0,18,5,2
100181,2024-01-07 20:14:57,control,7,0.0,0.0,0,20,6,1
100182,2024-01-04 15:50:58,control,4,0.0,0.0,0,15,3,1
100183,2024-01-04 20:19:47,control,4,400.7,57.77,1,20,3,1
100184,2024-01-10 17:57:49,control,10,784.65,64.07,1,17,2,2
100185,2024-01-07 22:31:49,control,7,0.0,0.0,0,22,6,1
100186,2024-01-07 05:54:30,control,7,0.0,0.0,0,5,6,1
100187,2024-01-03 07:50:52,control,3,278.08,46.15,1,7,2,1
100188,2024-01-13 17:39:11,control,13,1048.51,102.01,1,17,5,2
100189,2024-01-08 16:15:35,control,8,0.0,0.0,0,16,0,2
100190,2024-01-05 05:18:29,control,5,784.92,172.38,1,5,4,1
100191,2024-01-10 13:43:24,control,10,0.0,0.0,0,13,2,2
100192,2024-01-09 19:46:29,control,9,635.44,105.4,1,19,1,2
100193,2024-01-09 12:01:04,control,9,1305.81,104.85,1,12,1,2
100194,2024-01-09 14:34:55,control,9,0.0,0.0,0,14,1,2
100195,2024-01-14 10:27:24,control,14,1292.3,169.87,1,10,6,2
100196,2024-01-09 13:55:48,control,9,889.29,59.0,1,13,1,2
100197,2024-01-05 19:06:37,control,5,917.05,92.14,1,19,4,1
100198,2024-01-02 15:38:59,control,2,0.0,0.0,0,15,1,1
100199,2024-01-05 17:53:06,control,5,656.95,119.7,1,17,4,1
100200,2024-01-14 11:11:51,control,14,686.01,36.05,1,11,6,2
100201,2024-01-04 17:12:31,control,4,0.0,0.0,0,17,3,1
100202,2024-01-13 17:16:59,control,13,0.0,0.0,0,17,5,2
100203,2024-01-07 22:20:31,control,7,862.47,117.56,1,22,6,1
100204,2024-01-10 19:06:05,control,10,846.85,95.91,1,19,2,2
100205,2024-01-07 09:41:32,control,7,1309.1,84.99,1,9,6,1
100206,2024-01-04 17:19:56,control,4,715.87,96.65,1,17,3,1
100207,2024-01-11 16:46:51,control,11,1122.05,62.77,1,16,3,2
100208,2024-01-14 13:38:35,control,14,0.0,0.0,0,13,6,2
100209,2024-01-04 16:32:39,control,4,358.39,63.29,1,16,3,1
100210,2024-01-11 21:39:37,control,11,262.12,37.03,1,21,3,2
100211,2024-01-04 15:44:34,control,4,0.0,0.0,0,15,3,1
100212,2024-01-11 00:52:30,control,11,1044.06,129.98,1,0,3,2
100213,2024-01-06 18:23:43,control,6,1158.84,64.87,1,18,5,1
100214,2024-01-14 11:21:22,control,14,0.0,0.0,0,11,6,2
100215,2024-01-11 07:36:17,control,11,0.0,0.0,0,7,3,2
100216,2024-01-04 19:28:23,control,4,0.0,0.0,0,19,3,1
100217,2024-01-03 15:07:09,control,3,1496.35,142.27,1,15,2,1
100218,2024-01-02 08:23:14,control,2,1681.92,166.94,1,8,1,1
100219,2024-01-07 06:11:59,control,7,0.0,0.0,0,6,6,1
100220,2024-01-13 15:16:27,control,13,889.56,57.92,1,15,5,2
100221,2024-01-02 18:51:56,control,2,1422.48,197.92,1,18,1,1
100222,2024-01-10 20:33:17,control,10,676.16,46.3,1,20,2,2
100223,2024-01-03 19:59:38,control,3,0.0,0.0,0,19,2,1
100224,2024-01-14 11:27:21,control,14,0.0,0.0,0,11,6,2
100225,2024-01-05 06:48:05,control,5,482.3,118.05,1,6,4,1
100226,2024-01-04 14:57:59,control,4,0.0,0.0,0,14,3,1
100227,2024-01-09 02:37:03,control,9,452.03,108.3,1,2,1,2
100228,2024-01-08 15:45:39,control,8,1230.39,76.35,1,15,0,2
100229,2024-01-03 11:23:44,control,3,982.52,158.98,1,11,2,1
100230,2024-01-07 11:38:13,control,7,1486.49,130.26,1,11,6,1
100231,2024-01-05 18:59:18,control,5,355.85,51.82,1,18,4,1
100232,2024-01-01 06:33:36,control,1,1853.53,151.23,1,6,0,1
100233,2024-01-11 14:51:45,control,11,0.0,0.0,0,14,3,2
100234,2024-01-07 21:34:05,control,7,435.25,28.06,1,21,6,1
100235,2024-01-01 17:54:27,control,1,0.0,0.0,0,17,0,1
100236,2024-01-10 12:14:40,control,10,0.0,0.0,0,12,2,2
100237,2024-01-07 01:10:59,control,7,846.78,79.42,1,1,6,1
100238,2024-01-05 07:42:43,control,5,0.0,0.0,0,7,4,1
100239,2024-01-09 18:46:32,control,9,526.13,53.45,1,18,1,2
100240,2024-01-02 23:06:55,control,2,400.58,59.88,1,23,1,1
100241,2024-01-05 18:10:06,control,5,0.0,0.0,0,18,4,1
100242,2024-01-02 07:49:02,control,2,0.0,0.0,0,7,1,1
100243,2024-01-07 11:08:23,control,7,1433.87,51.57,1,11,6,1
100244,2024-01-09 19:15:30,control,9,917.34,83.97,1,19,1,2
100245,2024-01-09 11:07:25,control,9,221.65,47.91,1,11,1,2
100246,2024-01-11 14:30:57,control,11,0.0,0.0,0,14,3,2
100247,2024-01-06 19:42:40,control,6,946.99,67.76,1,19,5,1
100248,2024-01-09 20:07:28,control,9,641.11,81.41,1,20,1,2
100249,2024-01-01 13:58:56,control,1,586.87,77.0,1,13,0,1
100250,2024-01-03 12:17:50,control,3,455.03,48.84,1,12,2,1
100251,2024-01-07 21:58:51,control,7,0.0,0.0,0,21,6,1
100252,2024-01-03 15:14:37,control,3,0.0,0.0,0,15,2,1
100253,2024-01-05 14:50:00,control,5,963.2,96.52,1,14,4,1
100254,2024-01-14 11:19:38,control,14,566.72,83.23,1,11,6,2
100255,2024-01-08 13:39:19,control,8,827.5,45.75,1,13,0,2
100256,2024-01-10 11:42:29,control,10,0.0,0.0,0,11,2,2
100257,2024-01-02 10:44:36,control,2,0.0,0.0,0,10,1,1
100258,2024-01-03 10:51:43,control,3,233.8,43.41,1,10,2,1
100259,2024-01-09 05:26:54,control,9,366.17,41.72,1,5,1,2
100260,2024-01-03 12:19:09,control,3,655.48,68.22,1,12,2,1
100261,2024-01-03 09:19:09,control,3,2312.58,130.75,1,9,2,1
100262,2024-01-10 16:49:25,control,10,0.0,0.0,0,16,2,2
100263,2024-01-13 22:50:25,control,13,426.14,41.91,1,22,5,2
100264,2024-01-14 20:32:01,control,14,843.3,102.22,1,20,6,2
100265,2024-01-01 16:13:21,control,1,0.0,0.0,0,16,0,1
100266,2024-01-12 19:23:21,control,12,837.57,92.07,1,19,4,2
100267,2024-01-05 20:32:53,control,5,1058.05,82.6,1,20,4,1
100268,2024-01-09 13:47:01,control,9,650.81,37.8,1,13,1,2
100269,2024-01-05 20:52:15,control,5,600.25,72.88,1,20,4,1
100270,2024-01-11 18:27:32,control,11,791.89,91.42,1,18,3,2
100271,2024-01-01 07:39:43,control,1,560.22,123.65,1,7,0,1
100272,2024-01-03 15:40:01,control,3,1069.05,72.93,1,15,2,1
100273,2024-01-14 10:04:33,control,14,359.69,48.89,1,10,6,2
100274,2024-01-06 20:30:00,control,6,1155.14,89.57,1,20,5,1
100275,2024-01-07 18:03:14,control,7,0.0,0.0,0,18,6,1
100276,2024-01-07 12:56:53,control,7,689.28,27.23,1,12,6,1
100277,2024-01-06 11:27:58,control,6,353.57,35.1,1,11,5,1
100278,2024-01-10 20:13:27,control,10,482.06,64.64,1,20,2,2
100279,2024-01-09 16:36:34,control,9,0.0,0.0,0,16,1,2
100280,2024-01-04 20:41:04,control,4,0.0,0.0,0,20,3,1
100281,2024-01-07 19:31:01,control,7,867.95,64.17,1,19,6,1
100282,2024-01-10 09:29:51,control,10,505.18,102.96,1,9,2,2
100283,2024-01-07 20:52:39,control,7,751.77,88.78,1,20,6,1
100284,2024-01-07 04:13:56,control,7,401.29,43.74,1,4,6,1
100285,2024-01-01 13:10:28,control,1,798.47,112.08,1,13,0,1
100286,2024-01-01 16:25:04,control,1,906.18,73.78,1,16,0,1
100287,2024-01-14 14:55:04,control,14,885.24,119.08,1,14,6,2
100288,2024-01-08 14:11:39,control,8,499.54,62.93,1,14,0,2
100289,2024-01-07 15:05:32,control,7,649.46,80.64,1,15,6,1
100290,2024-01-12 07:21:09,control,12,979.55,71.2,1,7,4,2
100291,2024-01-04 17:42:13,control,4,0.0,0.0,0,17,3,1
100292,2024-01-14 08:28:03,control,14,666.29,70.41,1,8,6,2
100293,2024-01-05 15:24:25,control,5,0.0,0.0,0,15,4,1
100294,2024-01-08 15:07:17,control,8,488.59,64.21,1,15,0,2
100295,2024-01-08 06:56:45,control,8,0.0,0.0,0,6,0,2
100296,2024-01-08 14:30:02,control,8,0.0,0.0,0,14,0,2
100297,2024-01-12 15:31:59,control,12,0.0,0.0,0,15,4,2
100298,2024-01-04 23:36:42,control,4,0.0,0.0,0,23,3,1
100299,2024-01-01 07:15:41,control,1,0.0,0.0,0,7,0,1
100300,2024-01-02 18:32:08,control,2,431.37,55.64,1,18,1,1
100301,2024-01-12 13:38:02,control,12,0.0,0.0,0,13,4,2
100302,2024-01-07 12:38:17,control,7,571.64,78.04,1,12,6,1
100303,2024-01-13 13:06:36,control,13,974.53,164.79,1,13,5,2
100304,2024-01-08 14:23:23,control,8,460.51,50.96,1,14,0,2
100305,2024-01-02 23:07:25,control,2,0.0,0.0,0,23,1,1
100306,2024-01-09 20:38:24,control,9,382.2,36.98,1,20,1,2
100307,2024-01-08 18:09:22,control,8,683.13,90.11,1,18,0,2
100308,2024-01-05 10:04:21,control,5,445.81,44.45,1,10,4,1
100309,2024-01-02 12:28:53,control,2,734.77,125.05,1,12,1,1
100310,2024-01-10 07:46:20,control,10,602.93,55.59,1,7,2,2
100311,2024-01-13 11:37:27,control,13,436.87,39.3,1,11,5,2
100312,2024-01-02 15:56:30,control,2,560.07,69.43,1,15,1,1
100313,2024-01-04 22:29:40,control,4,492.45,38.47,1,22,3,1
100314,2024-01-04 09:56:29,control,4,412.36,42.99,1,9,3,1
100315,2024-01-10 12:28:18,control,10,1264.05,135.89,1,12,2,2
100316,2024-01-11 05:22:45,control,11,643.98,35.52,1,5,3,2
100317,2024-01-09 17:45:43,control,9,272.25,41.95,1,17,1,2
100318,2024-01-05 12:27:08,control,5,0.0,0.0,0,12,4,1
100319,2024-01-11 18:15:56,control,11,1168.57,83.3,1,18,3,2
100320,2024-01-05 11:44:53,control,5,0.0,0.0,0,11,4,1
100321,2024-01-02 12:12:03,control,2,0.0,0.0,0,12,1,1
100322,2024-01-09 14:31:11,control,9,510.61,57.56,1,14,1,2
100323,2024-01-13 19:46:47,control,13,964.2,122.09,1,19,5,2
100324,2024-01-14 15:39:07,control,14,1237.1,116.18,1,15,6,2
100325,2024-01-14 18:46:35,control,14,0.0,0.0,0,18,6,2
100326,2024-01-05 18:20:50,control,5,0.0,0.0,0,18,4,1
100327,2024-01-01 12:34:14,control,1,0.0,0.0,0,12,0,1
100328,2024-01-02 23:27:50,control,2,1316.71,132.37,1,23,1,1
100329,2024-01-08 18:25:49,control,8,523.19,48.97,1,18,0,2
100330,2024-01-08 15:43:33,control,8,1202.35,163.77,1,15,0,2
100331,2024-01-04 15:17:55,control,4,0.0,0.0,0,15,3,1
100332,2024-01-05 08:08:42,control,5,814.13,91.44,1,8,4,1
100333,2024-01-12 14:48:33,control,12,0.0,0.0,0,14,4,2
100334,2024-01-07 10:34:17,control,7,0.0,0.0,0,10,6,1
100335,2024-01-12 07:34:20,control,12,506.18,29.2,1,7,4,2
100336,2024-01-14 11:38:21,control,14,846.79,126.29,1,11,6,2
100337,2024-01-05 10:33:31,control,5,795.98,49.13,1,10,4,1
100338,2024-01-03 20:07:12,control,3,0.0,0.0,0,20,2,1
100339,2024-01-14 08:10:27,control,14,605.92,98.16,1,8,6,2
100340,2024-01-11 15:32:38,control,11,0.0,0.0,0,15,3,2
100341,2024-01-05 01:44:54,control,5,829.99,56.39,1,1,4,1
100342,2024-01-09 16:56:41,control,9,0.0,0.0,0,16,1,2
100343,2024-01-14 20:59:59,control,14,0.0,0.0,0,20,6,2
100344,2024-01-13 16:15:31,control,13,722.33,85.91,1,16,5,2
100345,2024-01-04 14:00:15,control,4,0.0,0.0,0,14,3,1
100346,2024-01-12 18:57:07,control,12,0.0,0.0,0,18,4,2
100347,2024-01-03 17:19:12,control,3,0.0,0.0,0,17,2,1
100348,2024-01-03 12:42:57,control,3,351.09,66.76,1,12,2,1
100349,2024-01-03 07:18:29,control,3,464.01,49.89,1,7,2,1
100350,2024-01-08 11:08:26,control,8,1249.34,117.0,1,11,0,2
100351,2024-01-01 15:05:23,control,1,792.52,95.57,1,15,0,1
100352,2024-01-05 04:23:46,control,5,347.26,23.82,1,4,4,1
100353,2024-01-07 02:11:33,control,7,898.37,160.92,1,2,6,1
100354,2024-01-14 13:42:33,control,14,586.76,59.17,1,13,6,2
100355,2024-01-12 12:24:38,control,12,506.37,67.51,1,12,4,2
100356,2024-01-05 16:53:48,control,5,446.26,55.46,1,16,4,1
100357,2024-01-13 11:36:12,control,13,0.0,0.0,0,11,5,2
100358,2024-01-04 11:23:54,control,4,0.0,0.0,0,11,3,1
100359,2024-01-11 11:31:56,control,11,515.2,80.15,1,11,3,2
100360,2024-01-12 20:08:09,control,12,806.06,79.7,1,20,4,2
100361,2024-01-13 11:18:22,control,13,0.0,0.0,0,11,5,2
100362,2024-01-14 13:31:05,control,14,987.2,57.38,1,13,6,2
100363,2024-01-13 12:11:53,control,13,513.16,78.53,1,12,5,2
100364,2024-01-02 14:58:10,control,2,1557.47,52.97,1,14,1,1
100365,2024-01-08 06:20:11,control,8,0.0,0.0,0,6,0,2
100366,2024-01-07 13:46:01,control,7,862.66,111.44,1,13,6,1
100367,2024-01-05 10:09:07,control,5,0.0,0.0,0,10,4,1
100368,2024-01-01 07:25:49,control,1,0.0,0.0,0,7,0,1
100369,2024-01-11 19:23:46,control,11,1055.8,49.95,1,19,3,2
100370,2024-01-05 16:45:21,control,5,0.0,0.0,0,16,4,1
100371,2024-01-10 06:19:05,control,10,0.0,0.0,0,6,2,2
100372,2024-01-06 17:50:02,control,6,322.53,63.41,1,17,5,1
100373,2024-01-14 17:58:45,control,14,891.2,102.54,1,17,6,2
100374,2024-01-06 15:04:34,control,6,628.54,67.26,1,15,5,1
100375,2024-01-02 07:44:26,control,2,1304.23,90.08,1,7,1,1
100376,2024-01-11 07:30:12,control,11,746.54,73.99,1,7,3,2
100377,2024-01-11 10:55:16,control,11,0.0,0.0,0,10,3,2
100378,2024-01-06 07:40:37,control,6,966.1,65.09,1,7,5,1
100379,2024-01-04 16:11:12,control,4,717.96,90.38,1,16,3,1
100380,2024-01-01 20:56:49,control,1,0.0,0.0,0,20,0,1
100381,2024-01-03 20:23:37,control,3,1104.5,112.83,1,20,2,1
100382,2024-01-08 11:56:52,control,8,0.0,0.0,0,11,0,2
100383,2024-01-04 08:57:58,control,4,0.0,0.0,0,8,3,1
100384,2024-01-01 10:43:19,control,1,481.43,78.06,1,10,0,1
